#e_p,R_H,f_stab
0.100,0.300,1.00000
0.100,0.310,1.00000
0.100,0.320,1.00000
0.100,0.330,0.60000
0.100,0.340,0.45000
0.100,0.350,0.35000
0.100,0.360,-0.05000
0.100,0.370,-0.05000
0.100,0.380,-0.05000
0.100,0.390,-0.05000
0.100,0.400,-0.05000
0.100,0.410,-0.05000
0.100,0.420,-0.05000
0.100,0.430,-0.05000
0.100,0.440,-0.05000
0.100,0.450,-0.05000
0.100,0.460,-0.05000
0.100,0.470,-0.05000
0.100,0.480,-0.05000
0.100,0.490,-0.05000
0.100,0.500,-0.05000
0.100,0.510,-0.05000
0.100,0.520,-0.05000
0.100,0.530,-0.05000
0.100,0.540,-0.05000
0.100,0.550,-0.05000
0.110,0.250,1.00000
0.110,0.260,1.00000
0.110,0.270,1.00000
0.110,0.280,0.15000
0.110,0.290,0.85000
0.110,0.300,1.00000
0.110,0.310,1.00000
0.110,0.320,1.00000
0.110,0.330,0.70000
0.110,0.340,0.30000
0.110,0.350,0.20000
0.110,0.360,-0.05000
0.110,0.370,-0.05000
0.110,0.380,-0.05000
0.110,0.390,-0.05000
0.110,0.400,-0.05000
0.110,0.410,-0.05000
0.110,0.420,-0.04762
0.110,0.430,-0.05000
0.110,0.440,-0.05000
0.110,0.450,-0.05000
0.110,0.460,-0.05000
0.110,0.470,-0.05000
0.110,0.480,-0.05000
0.110,0.490,-0.05000
0.110,0.500,-0.05000
0.110,0.510,-0.05000
0.110,0.520,-0.05000
0.110,0.530,-0.05000
0.110,0.540,-0.05000
0.110,0.550,-0.05000
0.120,0.250,1.00000
0.120,0.260,1.00000
0.120,0.270,1.00000
0.120,0.280,0.20000
0.120,0.290,0.71429
0.120,0.300,1.00000
0.120,0.310,1.00000
0.120,0.320,1.00000
0.120,0.330,0.55000
0.120,0.340,0.30000
0.120,0.350,0.30000
0.120,0.360,-0.05000
0.120,0.370,-0.05000
0.120,0.380,-0.05000
0.120,0.390,-0.05000
0.120,0.400,-0.05000
0.120,0.410,-0.05000
0.120,0.420,-0.05000
0.120,0.430,-0.05000
0.120,0.440,-0.05000
0.120,0.450,-0.05000
0.120,0.460,-0.05000
0.120,0.470,-0.05000
0.120,0.480,-0.05000
0.120,0.490,-0.05000
0.120,0.500,-0.05000
0.120,0.510,-0.05000
0.120,0.520,-0.05000
0.120,0.530,-0.05000
0.120,0.540,-0.05000
0.120,0.550,-0.05000
0.130,0.250,1.00000
0.130,0.260,1.00000
0.130,0.270,1.00000
0.130,0.280,0.15000
0.130,0.290,0.75000
0.130,0.300,0.95238
0.130,0.310,1.00000
0.130,0.320,0.95238
0.130,0.330,0.80000
0.130,0.340,0.47619
0.130,0.350,0.25000
0.130,0.360,-0.05000
0.130,0.370,-0.05000
0.130,0.380,-0.05000
0.130,0.390,-0.05000
0.130,0.400,-0.05000
0.130,0.410,-0.05000
0.130,0.420,-0.05000
0.130,0.430,-0.05000
0.130,0.440,-0.05000
0.130,0.450,-0.05000
0.130,0.460,-0.05000
0.130,0.470,-0.05000
0.130,0.480,-0.05000
0.130,0.490,-0.05000
0.130,0.500,-0.05000
0.130,0.510,-0.05000
0.130,0.520,-0.05000
0.130,0.530,-0.05000
0.130,0.540,-0.05000
0.130,0.550,-0.05000
0.140,0.250,1.00000
0.140,0.260,1.00000
0.140,0.270,1.00000
0.140,0.280,0.20000
0.140,0.290,0.72727
0.140,0.300,0.90000
0.140,0.310,1.00000
0.140,0.320,0.95000
0.140,0.330,0.66667
0.140,0.340,0.47619
0.140,0.350,0.35000
0.140,0.360,-0.05000
0.140,0.370,-0.05000
0.140,0.380,-0.05000
0.140,0.390,-0.05000
0.140,0.400,-0.05000
0.140,0.410,-0.05000
0.140,0.420,-0.05000
0.140,0.430,-0.05000
0.140,0.440,-0.05000
0.140,0.450,-0.05000
0.140,0.460,-0.05000
0.140,0.470,-0.05000
0.140,0.480,-0.05000
0.140,0.490,-0.05000
0.140,0.500,-0.05000
0.140,0.510,-0.05000
0.140,0.520,-0.05000
0.140,0.530,-0.05000
0.140,0.540,-0.05000
0.140,0.550,-0.05000
0.150,0.250,1.00000
0.150,0.260,1.00000
0.150,0.270,1.00000
0.150,0.280,0.25000
0.150,0.290,0.80000
0.150,0.300,0.90000
0.150,0.310,1.00000
0.150,0.320,0.90909
0.150,0.330,0.71429
0.150,0.340,0.40000
0.150,0.350,0.09524
0.150,0.360,-0.05000
0.150,0.370,-0.05000
0.150,0.380,-0.05000
0.150,0.390,-0.05000
0.150,0.400,-0.05000
0.150,0.410,-0.05000
0.150,0.420,-0.05000
0.150,0.430,-0.05000
0.150,0.440,-0.05000
0.150,0.450,-0.05000
0.150,0.460,-0.05000
0.150,0.470,-0.05000
0.150,0.480,-0.05000
0.150,0.490,-0.05000
0.150,0.500,-0.05000
0.150,0.510,-0.05000
0.150,0.520,-0.05000
0.150,0.530,-0.05000
0.150,0.540,-0.05000
0.150,0.550,-0.05000
0.160,0.250,1.00000
0.160,0.260,1.00000
0.160,0.270,1.00000
0.160,0.280,0.30000
0.160,0.290,0.76190
0.160,0.300,0.76190
0.160,0.310,1.00000
